,Company name Latin alphabet,Ticker symbol,State or province (in US or Canada),DUO - Number of employees,GUO - Number of employees,"Model data - Global parent number of employees
302.,SOLVENTUM CORPORATION,SOLV,MN,n.a.,n.a.,22,"22,000","22,007","20,098","20,015",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
303.,MONSTER BEVERAGE CORPORATION,MNST,CA,n.a.,n.a.,7,"6,558","6,003","5,296","4,092","3,666","3,529","3,142","2,991","2,646","1,500","1,298"
304.,"NASDAQ, INC.",NDAQ,NY,"9,525","9,525",9,"9,162","8,525","6,377","5,814","4,830","4,361","4,099","4,734","4,325","3,824","3,687"
305.,HOWMET AEROSPACE INC.,HWM,PA,"25,430","25,430",24,"23,930","23,200","21,400","19,900","19,700","41,700","43,000","41,500","41,500","60,000","59,000"
306.,"ZIMMER BIOMET HOLDINGS, INC.",ZBH,IN,"17,000","17,000",17,"17,000","18,000","18,000","19,500","20,000","19,900","19,000","18,200","18,500","17,500","10,000"
307.,"YUM! BRANDS, INC.",YUM,KY,"28,000","28,000",28,"23,000","25,000","23,000","36,000","38,000","34,000","34,000","60,000","90,000",n.a.,"537,000"
308.,FASTENAL COMPANY,FAST,MN,"24,489","24,489",24,"23,702","23,201","22,386","20,507","20,365","21,948","21,644","20,565","19,624","20,746","18,417"
309.,DOVER CORPORATION,DOV,IL,"24,000","24,000",24,"24,000","25,000","25,000","25,000","23,000","24,000","24,000","29,000","29,000","26,000","27,000"
310.,AMERICAN EXPRESS COMPANY,AXP,NY,"76,841","76,841",75,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
311.,VULCAN MATERIALS COMPANY,VMC,AL,"11,172","11,172",11,"11,436","10,382","11,397","11,437","8,431","8,767","8,373","7,900","7,149","6,799","6,598"
312.,"ROPER TECHNOLOGIES, INC.",ROP,FL,"19,400","19,400",18,"18,200","16,800","15,800","19,300","18,400","16,460","15,611","14,236","14,155","10,806","10,137"
313.,CITIZENS FINANCIAL GROUP INC.,CFG,RI,"17,398","17,398",17,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
314.,MOODY'S CORPORATION,MCO,NY,"16,076","16,076",16,"15,838","15,151","14,426","13,460","11,490","11,000","13,000","11,896","10,600","10,400","9,900"
315.,"WILLIAMS-SONOMA, INC.",WSM,CA,"19,600","19,600",20,"19,600","10,700","12,500","12,200","22,200","27,000","28,200","27,800","19,600","20,500","17,500"
316.,GLOBAL PAYMENTS INC,GPN,GA,"26,000","26,000",27,"27,000","27,000","25,000","25,000","24,000","24,000","11,000","10,000","8,760","4,438","4,135"
317.,INGERSOLL RAND INC.,IR,NC,"21,000","21,000",21,"21,000","18,000","17,000","16,000","15,900","6,600","6,700","6,400","6,100",n.a.,n.a.
318.,COTERRA ENERGY INC,CTRA,TX,"2,200","2,200",1,915,894,981,936,503,274,303,308,421,459,691
319.,MASCO CORP,MAS,MI,"18,000","18,000",18,"18,000","18,000","19,000","20,000","18,000","18,000","26,000","26,000","26,000","25,000","32,000"
320.,ELECTRONIC ARTS INC,EA,CA,"14,500","14,500",15,"14,500","13,700","13,400","12,900","11,000","9,800","9,700","9,300","8,800","8,500","8,400"
321.,"AMETEK, INC.",AME,PA,"22,500","22,500",22,"21,500","21,500","19,600","18,500","16,500","18,100","18,200","16,900","15,700","15,400","15,400"
322.,SANDISK CORPORATION,SNDK,CA,"11,000","11,000",11,"12,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
323.,"AUTODESK, INC.",ADSK,CA,n.a.,n.a.,14,"14,100","14,100","13,700","12,600","11,500","10,100","9,600","8,800","9,000","9,500","8,823"
324.,"COINBASE GLOBAL, INC.",COIN,CA,-,-,4,"3,772","3,416","4,510","3,730","1,249",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
325.,"WYNN RESORTS, LIMITED",WYNN,NV,n.a.,n.a.,28,"28,000","27,800","27,000","26,950","27,500","30,200","26,000","25,200","24,600","20,800","16,800"
326.,THE CLOROX COMPANY,CLX,CA,"7,600","7,600",8,"8,000","8,700","9,000","9,000","8,800","8,800","8,700","8,100","8,000","7,700","8,200"
327.,CAPITAL ONE FINANCIAL CORPORATION,COF,VA,"89,181","89,181",62,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
328.,"CF INDUSTRIES HOLDINGS, INC.",CF,IL,"2,900","2,900",3,"2,800","2,700","2,700","3,000","3,000","3,000","3,000","3,000","3,000","2,900","2,300"
329.,RALPH LAUREN CORPORATION,RL,NY,"23,400",-,23,"23,400","23,400","22,200",n.a.,"20,300","24,900","24,300","23,500","26,000",n.a.,"25,000"
330.,"SYNOPSYS, INC.",SNPS,CA,"28,000","28,000",20,"20,000","20,300","19,000","16,361","15,036","13,896","13,245","11,686","10,669","10,284","9,436"
331.,"TAPESTRY, INC",TPR,NY,"19,000","19,000",19,"18,600","18,500","18,100","16,400","14,100","21,000","20,800","14,400","15,100","15,800","17,200"
332.,"AGILENT TECHNOLOGIES, INC.",A,CA,"18,100","18,100",18,"17,900","18,100","18,100","17,000","16,400","16,300","14,800","13,500","12,500","11,800","21,400"
333.,"T. ROWE PRICE GROUP, INC",TROW,MD,"7,773","7,773",8,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
334.,WEYERHAEUSER COMPANY,WY,WA,"9,517","9,517",9,"9,440","9,318","9,264","9,214","9,372","9,400","9,300","9,300","10,400","12,600","12,800"
335.,IRON MOUNTAIN INC,IRM,NH,"29,400","29,400",29,"28,850","27,000","27,600","26,750","26,600","26,750","26,200","24,000","24,000","20,000","20,000"
336.,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BR,NY,"15,000","15,000",15,"14,600","14,700","14,300","13,704","12,000","11,000","10,000","10,000","8,000","7,400","6,700"
337.,"DUPONT DE NEMOURS, INC.",DD,DE,"15,000","15,000",24,"24,000","24,000","23,000","28,000","34,000","35,000","98,000","98,000",n.a.,n.a.,n.a.
338.,"MCCORMICK & COMPANY, INCORPORATED",MKC,MD,"14,100","14,100",14,"14,100","13,800","14,200","14,000","13,000","12,400","11,600","11,700","10,500","10,000","10,000"
339.,"FORTINET, INC.",FTNT,CA,"15,109","15,109",14,"14,138","13,568","12,595","10,195","8,238","7,082","5,845","5,066","4,665","4,018","2,854"
340.,NISOURCE INC,NI,IN,"7,738","7,738",8,"7,746","7,411","7,162","7,342","7,389","8,363","8,087","8,175","8,007","7,596","8,982"
341.,"NETAPP, INC.",NTAP,CA,"11,700","11,700",12,"11,800","12,000","12,000","11,000","10,800","10,500","10,300","10,100","12,030","12,810","12,490"
342.,"GARTNER, INC.",IT,CT,"20,244","20,244",21,"21,044","20,237","19,500","16,600","15,600","16,724","15,173","15,131","8,813","7,834","6,758"
343.,"LAMB WESTON HOLDINGS, INC.",LW,ID,"10,100","10,100",10,"10,700","10,300","8,000","7,800",n.a.,"7,600","7,200","6,500","6,400",n.a.,"6,700"
344.,"SIMON PROPERTY GROUP, INC.",SPG,IN,"3,600","3,600",3,"2,800","3,000","3,300","3,300","3,300","4,500","5,000","5,000","5,000","5,000","5,250"
345.,"CHURCH & DWIGHT CO., INC.",CHD,NJ,"5,550","5,550",6,"5,750","5,550","5,250","5,100","5,100","4,800","4,700","4,700","4,500","4,400","4,200"
346.,MARTIN MARIETTA MATERIALS INC,MLM,NC,"9,600","9,600",9,"9,400","9,400","9,400","10,000","8,700","8,846","8,714","8,406","8,111","7,300","7,193"
347.,CME GROUP INC,CME,IL,"3,875","3,875",4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
348.,TELEDYNE TECHNOLOGIES INCORPORATED,TDY,CA,"15,800","15,800",15,"14,900","14,900","14,700","14,500","10,670","11,790","10,850","10,340","8,970","9,200","9,800"
349.,"HOST HOTELS & RESORTS, INC.",HST,MD,162,162,0,165,163,165,160,163,175,184,205,220,240,251
350.,"DIGITAL REALTY TRUST, INC.",DLR,CA,"4,282","4,282",4,"3,936","3,664","3,412","3,030","2,878","1,550","1,530","1,436","1,345","1,295",860
351.,EQUIFAX INC,EFX,GA,"15,000","15,000",15,"14,700","14,900","14,000","12,700","11,400","11,200","10,900","10,300","9,500","8,000","7,500"
352.,EDWARDS LIFESCIENCES CORPORATION,EW,CA,"16,000","16,000",16,"15,800","19,800","17,300","15,700","14,900","13,900","12,800","12,200","11,100","9,800","9,100"
353.,ON SEMICONDUCTOR CORP,ON,AZ,"22,670","22,670",26,"26,490","30,100","31,109","33,300","34,500","34,800","35,700","34,000","32,000","24,500","24,500"
354.,"EVERGY, INC",EVRG,MO,"4,691","4,691",5,"4,731","4,658","4,512","4,930","5,133","4,617","4,832","2,205","2,254","2,330","2,411"
355.,"BROWN & BROWN, INC.",BRO,FL,"14,531","14,531",17,"17,403","16,152","15,201","12,023","11,136","10,083","9,590","8,491","8,297","7,807","7,591"
356.,HUBBELL INCORPORATED,HUBB,CT,"18,000","18,000",18,"17,700","18,317","16,300","18,300","19,100","18,800","19,700","17,700","17,400","16,200","15,400"
357.,U.S. BANCORP,USB,MN,"67,313","67,313",69,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
358.,"VENTAS, INC.",VTR,IL,542,542,0,498,486,451,434,448,516,500,493,493,466,479
359.,"INTERACTIVE BROKERS GROUP, INC.",IBKR,CT,n.a.,-,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
360.,REALTY INCOME CORPORATION,O,CA,544,544,0,468,418,395,371,210,194,165,152,132,132,125
361.,TAKE-TWO INTERACTIVE SOFTWARE INC.,TTWO,NY,"12,928","12,928",13,"12,928","12,371","11,580","7,799","6,495","5,800","4,894","4,492","3,707","2,933","2,840"
362.,ARES MANAGEMENT CORPORATION,ARES,CA,5,5,12,"3,200","2,850","2,550","2,100","1,450","1,200","1,100","1,000",925,870,800
363.,PAYCHEX INC,PAYX,NY,"19,000","19,000",19,"16,500","16,600","16,000","15,000","15,600","15,300","14,300","13,700","13,500","13,000","12,700"
364.,VERALTO CORPORATION,VLTO,MA,"17,000","17,000",17,"17,000","16,000","16,000",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
365.,"OLD DOMINION FREIGHT LINE, INC.",ODFL,NC,"20,591","20,591",22,"21,895","22,902","23,471","23,663","19,779","20,105","21,279","19,183","17,543","17,931","16,443"
366.,TRUIST FINANCIAL CORPORATION,TFC,NC,"37,086","37,086",38,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
367.,APPLOVIN CORPORATION,APP,CA,-,-,2,"1,563","1,745","1,707","1,594",902,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
368.,"EPAM SYSTEMS, INC.",EPAM,PA,"62,850","62,850",61,"61,200","53,150","59,300","58,824","41,168","32,561","26,760","25,962","22,383","18,354","14,109"
369.,ZEBRA TECHNOLOGIES CORP,ZBRA,IL,"10,700","10,700",10,"9,900","9,750","10,500","9,800","8,800","8,200","7,400","7,000","6,500","7,000","6,800"
370.,"KEYSIGHT TECHNOLOGIES, INC.",KEYS,CA,"16,800","16,800",16,"15,500","14,900","15,000","14,300","13,900","13,600","12,900","12,600","10,300","10,250","9,600"
371.,ERIE INDEMNITY CO.,ERIE,PA,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
372.,PINNACLE WEST CAPITAL CORP,PNW,AZ,94,94,0,88,81,82,91,88,97,96,90,89,93,83
373.,"CADENCE DESIGN SYSTEMS, INC.",CDNS,CA,"13,800","13,800",13,"12,700","11,200","10,200","9,300","8,800","8,100","7,500","7,200","7,100","6,700","6,100"
374.,POOL CORPORATION,POOL,LA,"6,000","6,000",6,"6,000","6,000","6,000","5,500","4,500","4,500","4,000","4,000","3,900","3,800","3,700"
375.,"FIRST SOLAR, INC.",FSLR,AZ,"7,900","7,900",8,"8,100","6,700","5,500","4,800","5,100","6,600","6,400","4,100","5,400","6,350","4,870"
376.,LENNOX INTERNATIONAL INC,LII,TX,"12,900","12,900",14,"14,200","12,600","13,200","11,000","10,300","11,200","11,350","11,450","10,600","10,000","9,800"
377.,SNAP-ON INCORPORATED,SNA,WI,"13,000","13,000",13,"13,000","13,200","12,900","12,800","12,300","12,800","12,600","12,600",n.a.,"11,500","11,400"
378.,RESMED INC,RMD,CA,"10,600","10,600",11,"9,980","10,140","8,160","7,970","7,770","7,240","5,940","6,080","5,250","4,340","4,100"
379.,ALBEMARLE CORPORATION,ALB,NC,"7,800","7,800",8,"8,300","9,000","7,400","6,000","5,900","6,000","5,900","5,400","5,000","6,963","3,625"
380.,INCYTE CORPORATION,INCY,DE,"2,844","2,844",3,"2,617","2,524","2,324","2,094","1,773","1,456","1,367","1,208",980,692,588
381.,"AMERICAN WATER WORKS COMPANY, INC.",AWK,NJ,"7,000","7,000",7,"6,700","6,500","6,500","6,400","7,000","6,800","7,100","6,900","6,800","6,700","6,400"
382.,DECKERS OUTDOOR CORPORATION,DECK,CA,"5,500","5,500",6,"5,500","4,800","4,200","4,000","3,400","3,600","3,500","3,500","3,300","3,500","3,400"
383.,GODADDY INC.,GDDY,AZ,"5,845","5,845",6,"5,518","6,159","6,910","6,611","6,621","7,024","6,821","5,990","4,749","4,761","4,908"
384.,"DOMINO'S PIZZA, INC.",DPZ,MI,"10,200","10,200",11,"10,700","11,200","11,000","13,500","14,400","13,100","14,500","14,100","14,100","11,900","11,000"
385.,PUBLIC STORAGE,PSA,CA,"5,770","5,770",6,"5,900","5,380","5,900","5,800","5,400","5,900","5,600","5,600","5,500","5,300","5,300"
386.,CIENA CORPORATION,CIEN,MD,"8,898","8,898",9,"8,657","8,483","8,079","7,241","7,032","6,383","6,013","5,737","5,555","5,345","5,161"
387.,QNITY ELECTRONICS INC,Q,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
388.,"TKO GROUP HOLDINGS, INC.",TKO,NY,"4,000","4,000",1,"1,300","1,250",890,870,900,960,915,850,870,840,761
389.,CBOE GLOBAL MARKETS INC.,CBOE,IL,"1,661","1,661",2,"1,685","1,647","1,543","1,196","1,010",823,842,889,553,564,520
390.,ATMOS ENERGY CORPORATION,ATO,TX,"5,487","5,487",5,"5,260","5,019","4,791","4,684","4,694","4,776","4,628","4,565","4,747","4,753","4,761"
391.,"HASBRO, INC.",HAS,RI,"4,520","4,520",5,"4,985","5,502","6,490","6,640","6,822","5,600","5,800","5,400","5,400","5,000","5,200"
392.,GLOBE LIFE INC.,GL,TX,"3,732","3,732",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
393.,"DEXCOM, INC.",DXCM,CA,"11,000","11,000",10,"10,300","9,600","7,500","6,300","5,500","3,900","2,800","2,290","2,300","1,509","1,061"
394.,"COPART, INC.",CPRT,TX,"11,600","11,600",12,"11,700","10,200","9,500","8,600","7,600","7,327","6,026","5,323","4,844","4,267","4,179"
395.,CORPAY INC,CPAY,GA,n.a.,n.a.,11,"11,200","10,500","9,900","9,700","8,400","8,700","7,580","7,890","7,100","5,330","4,780"
396.,PALANTIR TECHNOLOGIES INC.,PLTR,CO,"4,429","4,429",4,"3,936","3,735","3,838","2,920","2,439","2,391",n.a.,n.a.,n.a.,n.a.,n.a.
397.,"ROBINHOOD MARKETS, INC.",HOOD,CA,"2,900","2,900",2,"2,300","2,200","2,300","3,800","2,100",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
398.,THE BANK OF NEW YORK MELLON CORPORATION,BK,NY,"48,100","48,100",52,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
399.,MICROCHIP TECHNOLOGY INCORPORATED,MCHP,AZ,"19,400","19,400",19,"19,400","22,300","22,600","21,000","19,500","18,000","18,286","14,234","12,656","9,766","9,449"
400.,ALLIANT ENERGY CORPORATION,LNT,WI,"2,948","2,948",3,"2,998","3,281","3,129","3,313","3,375","3,597","3,885","3,989","3,978","4,070","4,212"
401.,"IDEXX LABORATORIES, INC.",IDXX,ME,"11,000","11,000",11,"11,000","11,000","10,780","10,350","9,300","9,200","8,377","7,600","7,365","6,800","6,400"
402.,CROWN CASTLE INC,CCI,TX,"4,000","4,000",4,"3,900","4,700","5,000","5,000","4,900","5,100","5,000","4,500","3,200","2,700","2,200"
403.,"THE PNC FINANCIAL SERVICES GROUP, INC.",PNC,PA,"55,025","55,025",55,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
404.,GENERAC HOLDINGS INC.,GNRC,WI,"9,400","9,400",9,"9,239","8,600","9,500","9,540","6,797","5,689","5,664","4,646","4,202","3,156","3,587"
405.,"AKAMAI TECHNOLOGIES, INC.",AKAM,MA,"11,000","11,000",11,"10,700","10,250","9,800","8,700","8,368","7,724","7,519","7,650","6,490","6,084","5,105"
406.,FORTIVE CORPORATION,FTV,WA,n.a.,n.a.,18,"18,000","18,000","18,000","18,000","17,000","25,000","24,000","26,000","24,000","22,000","22,000"
407.,"HOLOGIC, INC.",HOLX,MA,"7,070","7,070",7,"7,063","6,990","6,944","6,705","5,814","6,478","6,252","6,233","5,333","5,290","5,351"
408.,COOPER COMPANIES INC,COO,CA,"15,000","15,000",16,"16,000","15,000","14,000","12,000","12,000","12,000","12,000","11,800","10,600","10,200","9,460"
409.,"SKYWORKS SOLUTIONS, INC.",SWKS,CA,"10,000","10,000",10,"10,100","9,750","11,150","11,000","10,000","9,000","9,400","8,400","7,300","6,700","5,550"
410.,ALIGN TECHNOLOGY INC,ALGN,CA,n.a.,n.a.,21,"20,945","21,610","23,165","22,540","18,070","14,530","11,660","8,715","6,060","4,375","3,580"
411.,METTLER-TOLEDO INTERNATIONAL INC.,MTD,OH,"18,100","18,100",17,"17,300","17,300","18,000","17,800","16,500","16,200","16,000","15,400","14,200","13,500","13,100"
412.,CHARLES RIVER LABORATORIES INTERNATIONAL INC.,CRL,MA,"19,700","19,700",20,"20,000","21,400","21,400","20,000","18,400","17,100","14,700","11,800","11,000","8,600","7,900"
413.,VICI PROPERTIES INC.,VICI,NY,28,28,0,27,28,23,152,147,140,140,140,n.a.,n.a.,n.a.
414.,BROWN-FORMAN CORPORATION,BFB,KY,n.a.,n.a.,1,"5,700","5,600","5,200","4,700","4,800","4,700","5,030","4,960","4,800","4,400","4,200"
415.,"CROWDSTRIKE HOLDINGS, INC.",CRWD,TX,"10,118","10,118",10,"10,118","7,925","7,273","4,965","3,394","2,309","1,455",910,550,n.a.,n.a.
416.,GEN DIGITAL INC.,GEN,AZ,"3,500","3,500",4,"3,500","3,400","3,700","2,808","3,600",n.a.,"11,900","11,800","13,000","19,000",n.a.
417.,A. O. SMITH CORPORATION,AOS,WI,n.a.,n.a.,13,"12,700","12,000","12,000","13,700","13,900","15,100","16,300","16,100","15,500","13,400","12,400"
418.,ROLLINS INC,ROL,GA,"21,946","21,946",20,"20,265","19,031","17,515","16,482","15,616","14,952","13,734","13,126","12,153","11,268","10,936"
419.,TRIMBLE INC.,TRMB,CO,"11,500","11,500",12,"12,100","12,700","11,825","11,931","11,402","11,484","11,287","9,523","8,388","8,451","8,217"
420.,"MATCH GROUP, INC.",MTCH,TX,"2,209","2,209",3,"2,510","2,620","2,720","2,540","1,900","1,800","1,500","1,400","5,100","4,800","4,800"
421.,BXP INC,BXP,MA,n.a.,n.a.,1,816,836,780,743,750,760,760,740,765,765,750
422.,IDEX CORP,IEX,IL,"8,700","8,700",9,"9,000","8,800","8,868","7,536","7,075","7,439","7,352","7,167","7,158","6,801","6,712"
423.,"DATADOG, INC.",DDOG,NY,"8,100","8,100",7,"6,500","5,200","4,800","3,200","2,185","1,403","1,212",n.a.,n.a.,n.a.,n.a.
424.,"EXTRA SPACE STORAGE, INC.",EXR,UT,"8,393","8,393",8,"8,012","7,618","4,781","4,309","4,013","4,048","3,624","3,380","3,287","3,209","2,643"
425.,COSTAR GROUP INC.,CSGP,DC,"8,000","8,000",7,"6,593","6,152","5,653","4,742","4,752","4,337","3,705","3,711","3,064","2,631","2,444"
426.,SYNCHRONY FINANCIAL,SYF,CT,"20,000","20,000",29,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
427.,"TERADYNE, INC.",TER,MA,"6,600","6,600",7,"6,500","6,500","6,500","5,900","5,500","5,400","4,900","4,500","4,300","4,100","3,900"
428.,WATERS CORPORATION,WAT,MA,"7,900","7,900",8,"7,600","7,900","8,200","7,800","7,400","7,500","7,200","7,000","6,900","6,600","6,200"
429.,MSCI INC.,MSCI,NY,"6,268","6,268",6,"6,132","5,794","4,759","4,303","3,633","3,396","3,038","3,038","2,862","2,754","2,926"
430.,EQUITY RESIDENTIAL,EQR,IL,"2,400","2,400",3,"2,500","2,400","2,400","2,400","2,600","2,700","2,700","2,700","2,700","3,500","3,500"
431.,"F5, INC.",FFIV,WA,"6,578","6,578",7,"6,557","6,524","7,089","6,461","6,109","5,325","4,409","4,366","4,395","4,178","3,834"
432.,"WEST PHARMACEUTICAL SERVICES, INC.",WST,PA,"10,800","10,800",11,"10,600","10,600","10,700","10,065","9,200","8,200","7,700","7,500","7,300","7,100","7,000"
433.,"VERISK ANALYTICS, INC.",VRSK,NJ,"8,000","8,000",8,"7,800","7,500","7,000","9,367","8,960","9,300","8,184","7,304","6,314","7,918","6,550"
434.,"AVALONBAY COMMUNITIES, INC.",AVB,VA,n.a.,n.a.,3,"2,988","3,039","2,947","2,927","3,090","3,122","3,087","3,112","3,071","2,981","3,006"
435.,ALEXANDRIA REAL ESTATE EQUITIES INC,ARE,CA,514,514,1,552,568,593,559,470,439,386,323,285,278,243
436.,"THE TRADE DESK, INC.",TTD,CA,n.a.,n.a.,4,"3,522","3,115","2,770","1,967","1,545","1,310",944,713,467,n.a.,n.a.
437.,"REVVITY, INC.",RVTY,MA,"11,000","11,000",11,"11,000","11,500","16,700","16,700","14,000","13,000","12,500","11,000","8,000","8,000","7,700"
438.,"HEALTHPEAK PROPERTIES, INC.",DOC,CO,411,411,0,387,193,199,196,217,204,201,190,188,187,170
439.,SBA COMMUNICATIONS CORPORATION,SBAC,FL,n.a.,n.a.,2,"1,720","1,787","1,834","1,596","1,483","1,475","1,347","1,291","1,241","1,310","1,259"
440.,NORDSON CORPORATION,NDSN,OH,"8,000","8,000",8,"8,000","7,900","7,331","6,813","7,555","7,579","7,536","7,532","6,127","6,232","5,966"
441.,"MONOLITHIC POWER SYSTEMS, INC.",MPWR,WA,n.a.,n.a.,4,"4,017","3,564","3,247","2,773","2,209","2,002","1,737","1,534","1,417","1,260","1,178"
442.,"AXON ENTERPRISE, INC.",AXON,AZ,"6,300","6,300",5,"4,970","4,260","3,734","2,992","2,548","1,916","1,386","1,095",901,670,567
443.,PTC INC.,PTC,MA,"7,642","7,642",8,"7,501","7,231","6,503","6,709","6,243","6,055","6,110","6,041","5,800","5,982","6,444"
444.,INVITATION HOMES INC.,INVH,TX,"1,725","1,725",2,"1,750","1,555","1,511","1,240","1,149","1,140","1,231","1,445",884,907,n.a.
445.,INSULET CORPORATION,PODD,MA,"5,400","5,400",4,"3,900","3,000","2,600","2,300","1,900","1,350","1,169",857,640,647,519
446.,M&T BANK CORPORATION,MTB,NY,"22,080","22,080",22,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
447.,STATE STREET CORPORATION,STT,MA,"51,503","51,503",52,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
448.,"JACK HENRY & ASSOCIATES, INC.",JKHY,MO,"7,240","7,240",7,"7,170","7,120","6,847","6,714","6,717","6,402","6,307","5,972","5,861","5,822","5,499"
449.,"TYLER TECHNOLOGIES, INC.",TYL,TX,"7,800","7,800",7,"7,400","7,300","7,200","6,800","5,500","5,368","4,525","4,069","3,831","3,586","2,856"
450.,FACTSET RESEARCH SYSTEMS INC,FDS,CT,"12,800","12,800",13,"12,398","12,237","11,203","10,892","10,484","9,681","9,571","9,074","8,375","7,360","6,639"
451.,MID AMERICA APARTMENT COMMUNITIES INC,MAA,TN,"2,507","2,507",3,"2,532","2,427","2,387","2,429","2,566","2,513","2,552","2,464","2,528","1,989","2,090"
452.,KIMCO REALTY CORPORATION,KIM,NY,710,710,1,717,660,639,606,484,502,533,546,551,546,580
453.,"PAYCOM SOFTWARE, INC.",PAYC,OK,"5,770","5,770",7,"7,306","7,308","6,349","5,385","4,218","3,765","3,050","2,548","2,075","1,461","1,021"
454.,FAIR ISAAC CORPORATION,FICO,CA,"3,811","3,811",4,"3,586","3,455","3,404","3,650","4,003","4,009","3,668","3,299","3,088","2,803","2,646"
455.,"MODERNA, INC.",MRNA,MA,"4,700","4,700",6,"5,800","5,600","3,900","2,700","1,300",830,760,700,n.a.,n.a.,n.a.
456.,"ESSEX PROPERTY TRUST, INC.",ESS,CA,"1,689","1,689",2,"1,715","1,750","1,772","1,757","1,799","1,822","1,826","1,835","1,799","1,806","1,725"
457.,FIFTH THIRD BANCORP,FITB,OH,"18,676","18,676",19,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
458.,REGIONS FINANCIAL CORPORATION,RF,AL,"19,969","19,969",20,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
459.,"UDR, INC.",UDR,CO,"1,426","1,426",1,"1,432","1,410","1,326","1,229","1,271","1,351","1,431","1,542","1,587","1,611","1,582"
460.,VERISIGN INC,VRSN,VA,928,928,1,932,908,917,904,907,872,900,952,990,"1,019","1,061"
461.,CAMDEN PROPERTY TRUST,CPT,TX,"1,640","1,640",2,"1,660","1,640","1,650","1,700","1,700","1,650","1,600","1,600","1,600","1,750","1,780"
462.,REGENCY CENTERS CORPORATION,REG,FL,511,511,1,500,497,445,432,431,450,446,446,371,371,370
463.,NORTHERN TRUST CORPORATION,NTRS,IL,"23,800","23,800",23,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
464.,"APOLLO GLOBAL MANAGEMENT, INC.",APO,NY,"5,108","5,108",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
465.,FEDERAL REALTY INVESTMENT TRUST,FRT,MD,320,320,0,309,304,322,315,311,313,303,326,329,436,405
466.,BIO-TECHNE CORPORATION,TECH,MN,"3,100","3,100",3,"3,100","3,050","3,000","2,600","2,300","2,250","2,000","1,800","1,560","1,356","1,021"
467.,KEYCORP,KEY,OH,"17,883","17,883",19,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
468.,TEXAS PACIFIC LAND CORPORATION,TPL,TX,114,114,0,111,100,99,92,102,94,71,32,10,8,8
469.,HUNTINGTON BANCSHARES INCORPORATED,HBAN,OH,"20,801","20,801",20,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
470.,"BLACKROCK, INC.",BLK,NY,n.a.,n.a.,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.